Date,MM_Long,MM_Short,MM_Spreading,SD_Long,SD_Short,SD_Spreading,OI_Total,LargeTrader_Long,LargeTrader_Short
2020-12-29,12327,69183,270953,117811,19773,159673,556414,29447,182139
2020-12-21,12636,68376,275734,120377,18291,158194,560769,28078,191676
2020-12-15,14192,69353,271593,118294,18191,151901,550366,26853,188709
2020-12-08,15367,71031,268881,118240,17618,147844,549520,27295,190427
2020-12-01,18504,73475,265813,119429,18129,134446,538042,23399,189898
2020-11-24,16425,74823,264001,112076,17377,137503,555253,28948,182821
2020-11-17,16015,74682,271755,113514,15984,139550,557533,23555,190148
2020-11-10,15986,75840,266407,108842,19316,130105,547449,24159,188411
2020-11-03,15422,76841,273541,108060,16416,140094,544774,20953,181704
2020-10-27,16885,78297,280691,110953,19028,149140,560900,22105,176923
2020-10-20,16306,80534,273050,117914,20078,149108,562993,19728,191098
2020-10-13,15637,80511,264652,116151,20281,138169,553197,22261,188817
2020-10-06,17090,80604,271686,114476,26707,139350,555555,24956,181572
2020-09-29,18095,80681,270017,114937,34881,140320,562396,28535,175786
2020-09-22,20734,83669,257040,113771,33497,144670,575877,28603,164345
2020-09-15,19681,81024,264269,121622,25585,166571,578925,26898,157941
2020-09-08,17766,79781,259644,118943,24503,155528,557457,23207,157645
2020-09-01,17887,80332,259878,115747,23035,147175,547704,23543,158943
2020-08-25,21545,83785,257171,114604,22936,145055,549282,24833,156504
2020-08-18,19419,82563,259342,110411,21529,151016,544010,23603,151353
2020-08-11,20119,81712,256396,113766,21294,155418,553345,25020,151449
2020-08-04,19158,79645,258400,116748,20306,165357,561837,24621,156490
2020-07-28,20494,74894,262796,110969,44415,159894,598629,48772,152694
2020-07-21,23045,71634,275235,123303,35011,181256,603138,37869,152981
2020-07-14,22532,73071,278837,118784,30306,177400,580175,28953,152805
2020-07-07,20352,72947,283186,112705,25125,179810,572776,26539,157220
2020-06-30,19798,75447,281487,115221,21452,173526,561628,25341,155416
2020-06-23,17771,74444,267566,111941,22195,161593,532101,22872,146866
2020-06-16,17761,76758,247201,105338,16403,135945,489563,22596,141450
2020-06-09,18289,76023,236589,101180,15803,126407,475661,24518,137565
2020-06-02,17550,75127,249887,99413,15977,133655,475745,21159,138541
2020-05-26,16983,77107,262963,105449,37887,145566,519374,24161,142582
2020-05-19,21879,79365,262229,129189,32471,153961,528205,21376,141433
2020-05-12,22089,78459,251816,127265,25475,144015,496739,20164,133756
2020-05-05,17834,76763,249805,126428,25448,142326,490343,26395,133245
2020-04-28,17954,74946,255649,130880,22002,154025,500816,26128,133357
2020-04-21,18506,76849,248469,126959,21453,155492,493158,22148,126771
2020-04-14,19415,78256,250413,127666,19168,162412,489965,16081,124205
2020-04-07,19757,80746,246424,129690,18382,157005,480050,13524,122875
2020-03-31,25659,81549,253299,137868,20875,156820,495652,13727,130709
2020-03-24,22853,92974,270015,157635,19884,158965,547334,21309,158963
2020-03-17,28316,95537,263868,161694,30908,164979,573925,24653,152426
2020-03-10,30447,114320,301829,171242,38181,220642,633470,28414,115648
2020-03-03,18481,109639,300310,178821,50014,242921,691985,43122,123252
2020-02-25,20685,111284,323250,184340,44650,263218,732917,42345,126121
2020-02-18,17130,113558,340089,176211,44831,278286,715317,29631,130063
2020-02-11,17009,120850,316888,158762,43770,231499,658024,28061,125036
2020-02-04,16469,119930,312983,155103,40387,223762,654572,28905,132147
2020-01-28,22487,119308,341159,161450,50505,254259,715539,48947,122142
2020-01-21,42645,121988,331304,185232,47812,258269,793829,92165,116524
2020-01-14,40178,125556,334235,181318,55624,262402,796883,93919,114407
2020-01-07,23615,124087,336420,167363,54750,261083,785857,89773,122397
2021-12-28,11047,69200,74017,261528,18108,130389,508912,33455,173490
2021-12-21,11693,67486,74493,254729,18811,124120,500846,32774,172508
2021-12-14,11823,63346,76488,256376,19110,121492,503709,31775,176650
2021-12-07,11713,65860,76290,267766,15939,125067,499307,32682,175451
2021-11-30,13584,67407,70183,274963,35795,137469,531868,32991,172784
2021-11-23,14322,82848,67987,267295,38718,152273,559823,31273,174136
2021-11-16,17998,86192,68512,287857,39248,185468,612612,48971,175061
2021-11-09,17412,76212,68244,284933,19541,168133,571025,41247,172978
2021-11-02,13986,66307,71365,258921,15341,136944,507616,33020,174147
2021-10-26,13505,64600,72885,261444,17033,141280,509794,23815,172366
2021-10-19,12474,63126,76694,245232,17960,124560,485974,14554,175322
2021-10-12,14259,62099,77500,237274,18938,131668,484382,15031,166835
2021-10-05,14867,57675,77225,238119,22137,126745,483789,14011,169194
2021-09-28,18460,60320,72672,220963,32941,118923,490858,15651,174891
2021-09-21,15089,61902,72105,237936,32113,119777,492765,15992,176893
2021-09-14,13149,67186,72791,253005,33212,130837,506356,17532,176151
2021-09-07,14223,66798,72865,256098,32818,129044,506772,15967,176973
2021-08-31,13580,66321,72573,260344,33743,136555,507113,16704,174449
2021-08-24,14405,69571,73832,253344,34864,126636,504735,18282,172448
2021-08-17,14549,66385,73900,236064,34852,117272,485485,15999,167165
2021-08-10,15344,62975,72207,220217,37169,111892,477232,13028,165368
2021-08-03,17427,73826,73284,248169,30638,132920,485663,20460,140223
2021-07-27,13874,70160,67644,240172,34980,131635,500187,44240,142053
2021-07-20,14367,78197,67561,232279,41613,135163,490520,20020,142149
2021-07-13,14757,75926,66111,225970,31571,135938,495798,22119,139605
2021-07-06,14158,75008,66765,220641,26752,131218,465811,21212,139327
2021-06-29,14517,68972,67200,207865,25681,115438,453360,23930,138768
